2.4889 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
3.3791 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=488, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.3825 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.3857 	EXP 	Created imagination_instruction_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='imagination_instruction_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.3880 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Pause', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4093 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=610, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4125 	EXP 	Created imagination_instruction_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='imagination_instruction_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4156 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4287 	EXP 	TextStim: autoDraw = True
4.6089 	DATA 	Keypress: space
4.6092 	EXP 	Imported trails.csv as conditions, 2 conditions, 2 params
4.6094 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
4.6331 	EXP 	New trial (rep=0, index=0): {'trailText': u' Trail 1', 'trail': 1}
4.6487 	EXP 	TextStim: autoDraw = False
4.6487 	EXP 	Set text text= Trail 1
4.6487 	EXP 	TextStim: autoDraw = True
6.6290 	EXP 	Imported stimulus_conditions.csv as conditions, 4 conditions, 3 params
6.6292 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
6.6298 	EXP 	New trial (rep=0, index=0): {'bodyPart': u'right_foot', 'instruction': u' Right Foot', 'feedback': u' Right foot moved.'}
6.6475 	EXP 	TextStim: autoDraw = False
6.6475 	EXP 	Set imagination_instruction_2 text= Right Foot
6.6475 	EXP 	TextStim: autoDraw = True
10.6289 	EXP 	New trial (rep=0, index=1): {'bodyPart': u'left_foot', 'instruction': u' Left Foot', 'feedback': u' Left foot moved'}
10.6475 	EXP 	TextStim: autoDraw = False
10.6475 	EXP 	Set imagination_instruction_2 text= Left Foot
10.6475 	EXP 	TextStim: autoDraw = True
14.6289 	EXP 	New trial (rep=0, index=2): {'bodyPart': u'right_hand', 'instruction': u' Right Hand', 'feedback': u' Right hand moved.'}
14.6475 	EXP 	TextStim: autoDraw = False
14.6475 	EXP 	Set imagination_instruction_2 text= Right Hand
14.6475 	EXP 	TextStim: autoDraw = True
