2.5502 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
3.4359 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=488, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4406 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4434 	EXP 	Created imagination_instruction_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='imagination_instruction_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4495 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Pause', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4697 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=610, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4726 	EXP 	Created imagination_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='imagination_instruction', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4755 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
3.4899 	EXP 	TextStim: autoDraw = True
3.8902 	DATA 	Keypress: space
3.8905 	EXP 	Imported trails.csv as conditions, 2 conditions, 2 params
3.8907 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
3.8910 	EXP 	New trial (rep=0, index=0): {'trailText': u' Trail 1', 'trail': 1}
3.9099 	EXP 	TextStim: autoDraw = False
3.9099 	EXP 	Set text text= Trail 1
3.9099 	EXP 	TextStim: autoDraw = True
5.8902 	EXP 	Imported stimulus_conditions.csv as conditions, 4 conditions, 2 params
5.8904 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
5.8907 	EXP 	New trial (rep=0, index=0): {'bodyPart': u'left_hand', 'instruction': u' Left Hand'}
5.9087 	EXP 	TextStim: autoDraw = False
5.9087 	EXP 	TextStim: autoDraw = False
5.9087 	EXP 	Set imagination_instruction_2 text= Left Hand
5.9087 	EXP 	TextStim: autoDraw = True
9.8902 	EXP 	New trial (rep=0, index=1): {'bodyPart': u'right_hand', 'instruction': u' Right Hand'}
9.9099 	EXP 	TextStim: autoDraw = False
9.9099 	EXP 	TextStim: autoDraw = False
9.9099 	EXP 	Set imagination_instruction_2 text= Right Hand
9.9099 	EXP 	TextStim: autoDraw = True
13.8890 	EXP 	New trial (rep=0, index=2): {'bodyPart': u'left_foot', 'instruction': u' Left Foot'}
13.9099 	EXP 	TextStim: autoDraw = False
13.9099 	EXP 	TextStim: autoDraw = False
13.9099 	EXP 	Set imagination_instruction_2 text= Left Foot
13.9099 	EXP 	TextStim: autoDraw = True
17.8901 	EXP 	New trial (rep=0, index=3): {'bodyPart': u'right_foot', 'instruction': u' Right Foot'}
17.9099 	EXP 	TextStim: autoDraw = False
17.9099 	EXP 	TextStim: autoDraw = False
17.9099 	EXP 	Set imagination_instruction_2 text= Right Foot
17.9099 	EXP 	TextStim: autoDraw = True
21.9088 	EXP 	TextStim: autoDraw = False
21.9088 	EXP 	TextStim: autoDraw = False
21.9088 	EXP 	TextStim: autoDraw = True
26.8901 	EXP 	New trial (rep=0, index=1): {'trailText': u' Trail 2', 'trail': 2}
26.9099 	EXP 	TextStim: autoDraw = False
26.9099 	EXP 	TextStim: autoDraw = False
26.9099 	EXP 	Set text text= Trail 2
26.9099 	EXP 	TextStim: autoDraw = True
28.8891 	EXP 	Imported stimulus_conditions.csv as conditions, 4 conditions, 2 params
28.8892 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
28.8895 	EXP 	New trial (rep=0, index=0): {'bodyPart': u'right_hand', 'instruction': u' Right Hand'}
28.9099 	EXP 	TextStim: autoDraw = False
28.9099 	EXP 	TextStim: autoDraw = False
28.9099 	EXP 	Set imagination_instruction_2 text= Right Hand
28.9099 	EXP 	TextStim: autoDraw = True
32.8901 	EXP 	New trial (rep=0, index=1): {'bodyPart': u'right_foot', 'instruction': u' Right Foot'}
32.9087 	EXP 	TextStim: autoDraw = False
32.9087 	EXP 	TextStim: autoDraw = False
32.9087 	EXP 	Set imagination_instruction_2 text= Right Foot
32.9087 	EXP 	TextStim: autoDraw = True
36.8901 	EXP 	New trial (rep=0, index=2): {'bodyPart': u'left_foot', 'instruction': u' Left Foot'}
36.9100 	EXP 	TextStim: autoDraw = False
36.9100 	EXP 	TextStim: autoDraw = False
36.9100 	EXP 	Set imagination_instruction_2 text= Left Foot
36.9100 	EXP 	TextStim: autoDraw = True
40.8901 	EXP 	New trial (rep=0, index=3): {'bodyPart': u'left_hand', 'instruction': u' Left Hand'}
40.9088 	EXP 	TextStim: autoDraw = False
40.9088 	EXP 	TextStim: autoDraw = False
40.9088 	EXP 	Set imagination_instruction_2 text= Left Hand
40.9088 	EXP 	TextStim: autoDraw = True
44.9088 	EXP 	TextStim: autoDraw = False
44.9088 	EXP 	TextStim: autoDraw = False
44.9088 	EXP 	TextStim: autoDraw = True
